CubeSat.ElapsedSecs,GroundStation1.EarthFixed.X,GroundStation1.EarthFixed.Y,GroundStation1.EarthFixed.Z,Sun.EarthFixed.X,Sun.EarthFixed.Y,Sun.EarthFixed.Z,CubeSat.EarthFixed.X,CubeSat.EarthFixed.Y,CubeSat.EarthFixed.Z,CubeSat.Earth.BetaAngle,CubeSat.EulerAngle1,CubeSat.EulerAngle2,CubeSat.EulerAngle3,CubeSat.EarthFixed.VX,CubeSat.EarthFixed.VY,CubeSat.EarthFixed.VZ
4935.097361099906,-633.1672917014689,-5113.638504724575,3759.55450244777,139890465.1369914,-27789860.39852501,52530283.58089269,-5688.679034957867,-27.71261611317986,-4119.626317221681,-18.52774283670192,133.1045271547643,-35.96891433879982,60.93649544371746,-2.126161783310805,-6.174708665030987,2.966275793640363
5031.300972320605,-633.1672917014691,-5113.638504724578,3759.554502447771,139692816.4803351,-28767876.25704548,52529722.38153432,-5866.928265936175,-619.2362171736685,-3812.817574453532,-18.52811650981885,139.2611842842821,-32.93812410915759,57.44350417092678,-1.576082706284916,-6.113051718065854,3.406379383716489
5127.488974656444,-633.1672917014704,-5113.638504724577,3759.554502447771,139488364.0322814,-29744328.44436408,52529161.26370867,-5991.33590225671,-1201.991297148805,-3465.437261332655,-18.52904274575652,144.989978910053,-29.62653509979715,54.45983552703733,-1.008107994794422,-5.994586236915094,3.810151790644162
5223.665718315169,-633.1672917014699,-5113.638504724577,3759.554502447771,139277111.3932174,-30719213.93908753,52528600.20212417,-6060.449368590168,-1770.609790674755,-3081.183605565304,-18.53038307515327,150.3405540344373,-26.08521736469303,51.95186058905119,-0.4274237422170034,-5.820787133695082,4.173327047878633
5319.835871912073,-633.1672917014699,-5113.638504724579,3759.55450244777,139059060.5221708,-31692532.78144293,52528039.16962937,-6073.315851128787,-2319.89137318754,-2664.137400165121,-18.53198214670541,155.3677645792379,-22.35861502197211,49.88249011428356,0.1606262796879071,-5.593627196879217,4.492062216369361
5415.998512913939,-633.1672917014708,-5113.638504724577,3759.554502447771,138834225.6541457,-32664228.36219815,52527478.17168882,-6029.498449665171,-2844.817111979282,-2218.748149978019,-18.53367475947503,160.1269085537848,-18.48533744955336,48.21613168325558,0.7505512937766683,-5.315574122578146,4.762961246710131
5512.144588551018,-633.1672917014714,-5113.638504724579,3759.554502447771,138602641.4823185,-33634162.27917187,52526917.26119853,-5929.104281392775,-3340.589195486639,-1749.808011636349,-18.53529278030159,164.6713030430291,-14.49919908210959,46.92142268090291,1.336748080509503,-4.98958894587193,4.983120277494109
5608.279054414015,-633.1672917014714,-5113.638504724579,3759.554502447771,138364310.3544269,-34602337.81446914,52526356.40933155,-5772.768938612115,-3802.791624618822,-1262.293720254529,-18.5366720811057,169.0523825712231,-10.42930876823413,45.97236964655341,1.913690237611111,-4.619024377801987,5.1502150747699
5704.397430794779,-633.1672917014705,-5113.638504724581,3759.554502447771,138119257.9305007,-35568663.25281976,52525795.64230759,-5561.672099253903,-4227.306402867498,-761.4238778811018,-18.53765819942483,173.3185071527833,-6.302028261326723,45.34935445870283,2.475839922725553,-4.207664469653967,5.262468656282995
5800.505432055797,-633.1672917014718,-5113.638504724579,3759.554502447772,137867484.3862984,-36533149.53165527,52525234.92686705,-5297.497374118983,-4610.442768382289,-252.5043139235119,-18.53811232265236,177.5163347485539,-2.141096334490261,45.03915616327659,3.017820040247387,-3.759610646326105,5.318705170369157
5896.61094294861,-633.1672917014695,-5113.638504724579,3759.554502447771,137608982.7006101,-37495829.01104276,52524674.21709029,-4982.420614852595,-4948.920273573539,259.089060081836,-18.53791664445312,-178.3087937058654,2.031141540485374,45.03512859033917,3.534415804383012,-3.279262274744655,5.318336771084274
5924.554418167099,-633.1672915679108,-5113.638504641926,3759.554502582686,137532559.2482428,-37775394.97134911,52524511.18441489,-4881.628723483486,-5038.532820225582,407.5629116846263,-18.53772396918388,-177.0928290245612,3.243210862312945,45.09123166580301,3.679129063320306,-3.134202511971738,5.307593412269911
5931.19402709417,-633.1672915361275,-5113.638504622363,3759.554502614648,137514316.8601913,-37841799.37752932,52524472.44634653,-4857.087809537055,-5059.227246110732,442.7925965916163,-18.53766874726796,-176.8035165560113,3.531014486198169,45.1083707418442,3.713122476324473,-3.099404809778994,5.304337580832255
5938.890958100092,-633.1672914992574,-5113.638504599721,3759.554502651653,137493129.3431841,-37918767.30232665,52524427.53939641,-4828.357114595215,-5082.927418676757,483.6041251180913,-18.53760014745653,-176.4679066355199,3.864536249998321,45.13007366321536,3.752336653918928,-3.058911326115563,5.300225794511629
5942.724481865298,-633.1672914808863,-5113.63850458846,3759.554502670066,137482560.6434218,-37957097.42599717,52524405.17307641,-4813.935138603008,-5094.615066684376,503.9185119604957,-18.5375641401165,-176.3006558976024,4.030601017588044,45.14161871419376,3.771789775796828,-3.038682069393513,5.298042779098166
5946.247615478933,-633.1672914639978,-5113.638504578118,3759.554502686977,137472838.2400909,-37992321.46468917,52524384.61768518,-4800.615193967965,-5105.28794712085,522.580573234846,-18.53752995898669,-176.1468866904818,4.183189771730646,45.15266084037577,3.789621834984728,-3.020055243865189,5.29595734046233
5956.305986037478,-633.1672914157507,-5113.638504548639,3759.554502735199,137445031.604887,-38092870.62478515,52524325.93300483,-4762.242664638495,-5135.396634982965,575.8177518618062,-18.53742660375949,-175.7075453199729,4.618653857332431,45.18646458109055,3.840286908115214,-2.966691797671857,5.289586484235483
5985.048995807301,-633.1672917014718,-5113.638504724577,3759.554502447771,137365165.480492,-38380089.64642946,52524158.23390934,-4649.802512229466,-5218.460796812727,727.5579526750186,-18.537083658774,-174.4489164679171,5.861462956019269,45.30173313729117,3.983029628417746,-2.812734628903832,5.26798249326591
6064.820600312669,-633.1672917014716,-5113.638504724579,3759.554502447771,137140366.5668904,-39176338.75553446,52523692.80794138,-4316.767300971997,-5425.475890343298,1144.61162054284,-18.5357539812947,-170.922540853743,9.293961723788346,45.76835099850821,4.362464703904796,-2.375049753832353,5.181816928197482
6158.940030774102,-633.1672917014704,-5113.638504724576,3759.554502447771,136869200.2462613,-40114107.17081457,52523143.66218224,-3886.419865368381,-5624.059226171394,1625.650341989877,-18.53345604130784,-166.6702276044675,13.29736468057607,46.60431199171009,4.775730194304782,-1.842154375842802,5.031362154356142
6254.834924032912,-633.1672917014699,-5113.638504724579,3759.55450244777,136586323.7524129,-41067635.19675704,52522584.14891233,-3409.930474627621,-5774.118167564299,2098.669573455876,-18.53030838489715,-162.1914380463154,17.30102547364364,47.79035195427909,5.154585941178193,-1.285649178536683,4.825292358040772
6350.943615857977,-633.1672917014724,-5113.638504724579,3759.554502447771,136296151.4846992,-42021287.89578401,52522023.37970901,-2898.13328191971,-5870.516627665216,2550.435264555245,-18.52637773283995,-157.5047104725116,21.20942413591659,49.34133059794551,5.487730622339284,-0.7194042783567774,4.567510226686933
6447.091092111077,-633.1672917014704,-5113.63850472458,3759.554502447771,135999199.7153058,-42973274.18325554,52521462.37577614,-2356.472733432567,-5912.303363960384,2975.233589817186,-18.52174267322664,-152.564920990572,24.98302630139504,51.28559929134619,5.770947692091862,-0.1497257344581529,4.261038474446919
6543.257078435272,-633.1672917014704,-5113.638504724576,3759.554502447771,135695539.6074863,-43923344.92821028,52520901.25547864,-1789.998651929994,-5899.367464216853,3368.430718049197,-18.51650657236331,-147.317940161339,28.58404026577841,53.65757174072515,6.001158904796089,0.4179710054679321,3.909171024774596
6639.434461423662,-633.1672917014711,-5113.638504724578,3759.554502447771,135385205.3547122,-44871382.39891891,52520340.06039518,-1203.968899341944,-5832.137950060227,3725.798612477732,-18.51079531903142,-141.7089312030787,31.96946016904813,56.49410703647085,6.175835591379662,0.9784085643550765,3.515665433061285
6735.617580777034,-633.167291701471,-5113.638504724578,3759.554502447772,135068228.6105612,-45817283.8437968,52519778.82362188,-603.8563087206131,-5711.556390904062,4043.503743598173,-18.50475264200336,-135.6867128195893,35.08992411371278,59.83017187067858,6.292980312139888,1.526430649918407,3.084725528220012
6831.805190839805,-633.1672917014707,-5113.638504724577,3759.554502447771,134744627.9138235,-46760990.37834865,52519217.55250139,4.72504124739941,-5539.0533714019,4318.154595765954,-18.49853552661324,-129.2099235914426,37.88974719711965,63.69227682141344,6.351146846505078,2.057067672214899,2.620936187203942
6928.001038951334,-633.1672917014715,-5113.638504724578,3759.554502447771,134414405.1624739,-47702492.13853733,52518656.22523891,616.0791531673494,-5316.517332001655,4546.829540712843,-18.49230943958176,-122.2561830613599,40.30793293689,68.08902768969452,6.349442641245422,2.565582404532573,2.129201525196532
7024.213728087489,-633.1672917014688,-5113.638504724578,3759.554502447771,134077544.3913564,-48641826.33857445,52518094.7917034,1224.480031575322,-5046.260939061791,4727.094697998383,-18.48624209407575,-114.833535668152,42.28081478228101,72.99944165394213,6.287522100713483,3.047504023917726,1.614685862290666
